2025-12-15 12:19:01 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:01 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:01 | INFO     | anomaly_router | load_all_models:198 | genel modeli yüklendi - Train R²: 0.999, Test R²: 0.987
2025-12-15 12:19:01 | INFO     | anomaly_router | load_all_models:166 | aydinlatma kategorisi için model yükleniyor (target: Aydinlatma_MWh)
2025-12-15 12:19:01 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-15 12:19:02 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-15 12:19:02 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-15 12:19:02 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-15 12:19:02 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:03 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:03 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-15 12:19:03 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:03 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:03 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:03 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:04 | INFO     | anomaly_router | load_all_models:198 | aydinlatma modeli yüklendi - Train R²: 0.954, Test R²: 0.859
2025-12-15 12:19:04 | INFO     | anomaly_router | load_all_models:166 | mesken kategorisi için model yükleniyor (target: Mesken_MWh)
2025-12-15 12:19:04 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-15 12:19:04 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-15 12:19:04 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-15 12:19:04 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-15 12:19:05 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:05 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:05 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-15 12:19:05 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:05 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:05 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:05 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:05 | INFO     | anomaly_router | load_all_models:198 | mesken modeli yüklendi - Train R²: 0.998, Test R²: 0.951
2025-12-15 12:19:06 | INFO     | anomaly_router | load_all_models:166 | sanayi kategorisi için model yükleniyor (target: Sanayi_MWh)
2025-12-15 12:19:06 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-15 12:19:06 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-15 12:19:06 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-15 12:19:06 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-15 12:19:07 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:07 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:07 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-15 12:19:07 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:07 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:07 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:07 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:07 | INFO     | anomaly_router | load_all_models:198 | sanayi modeli yüklendi - Train R²: 0.997, Test R²: 0.841
2025-12-15 12:19:08 | INFO     | anomaly_router | load_all_models:166 | tarimsal kategorisi için model yükleniyor (target: Tarımsal_Sulama_MWh)
2025-12-15 12:19:08 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-15 12:19:08 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-15 12:19:08 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
2025-12-15 12:19:08 | INFO     | veri_cek | fetch_tables:423 | hizmet tablosu yüklendi -> (44, 6)
2025-12-15 12:19:09 | INFO     | veri_cek | fetch_tables:423 | train_2022_2023 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:09 | INFO     | veri_cek | fetch_tables:423 | test_2024_2025 tablosu yüklendi -> (1000, 19)
2025-12-15 12:19:09 | INFO     | veri_cek | build_train_test_frames:452 | Merge bitti -> Train: (1000, 31), Test: (1000, 31)
2025-12-15 12:19:09 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:09 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:09 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-15 12:19:09 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-15 12:19:09 | INFO     | anomaly_router | load_all_models:198 | tarimsal modeli yüklendi - Train R²: 0.957, Test R²: 0.204
2025-12-15 12:19:10 | INFO     | anomaly_router | load_all_models:166 | ticarethane kategorisi için model yükleniyor (target: Ticarethane_MWh)
2025-12-15 12:19:10 | INFO     | veri_cek | fetch_tables:423 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-15 12:19:10 | INFO     | veri_cek | fetch_tables:423 | weather tablosu yüklendi -> (1000, 8)
2025-12-15 12:19:10 | INFO     | veri_cek | fetch_tables:423 | nufus tablosu yüklendi -> (1000, 3)
